名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
声之形,映画 聲の形,2016-09-17,https://bangumi.tv/subject/117777,//lain.bgm.tv/pic/cover/l/7c/b9/117777_4Ku7z.jpg,2021-5-29,,,"","1话 /  2016年9月17日 / 山田尚子 / 大今良時（講談社コミックス刊） / 西屋太志"
我的妹妹哪有这么可爱！,俺の妹がこんなに可愛いわけがない,2010-10-03,https://bangumi.tv/subject/5436,//lain.bgm.tv/pic/cover/l/cf/8c/5436_qvFU5.jpg,2021-5-29,,,"","16话 /  2010年10月3日 / 神戸洋行 / 伏見つかさ / 織田広之（かんざきひろ）"
Just Because!,,2017-10-05,https://bangumi.tv/subject/212278,//lain.bgm.tv/pic/cover/l/cf/9d/212278_zwYLL.jpg,2021-5-29,,,"","12话 /  2017年10月5日"
濑户的花嫁,瀬戸の花嫁,2007-04-01,https://bangumi.tv/subject/805,//lain.bgm.tv/pic/cover/l/84/6c/805_p6Jf6.jpg,2021-5-29,,,"","26话 /  2007年4月1日 / 岸誠二 / 木村太彦（掲載 月刊『ガンガンWING』スクウェア・エニックス刊）"
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,2020-04-11,https://bangumi.tv/subject/293049,//lain.bgm.tv/pic/cover/l/36/16/293049_0e0re.jpg,2021-5-29,7,,"","12话 /  2020年4月11日 / 畠山守（小俣真一） / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子"
悠哉日常大王,のんのんびより,2013-10-07,https://bangumi.tv/subject/78405,//lain.bgm.tv/pic/cover/l/47/fa/78405_dodKZ.jpg,2021-5-29,,,"","12话 /  2013年10月7日 / 川面真也 / あっと（月刊コミックアライブ連載/KADOKAWA刊） / 大塚舞"
女仆咖啡厅,それでも町は廻っている,2010-10-07,https://bangumi.tv/subject/7883,//lain.bgm.tv/pic/cover/l/3f/8e/7883_NLYr5.jpg,2021-5-29,,,"","12话 /  2010年10月7日 / 石黒正数（少年画報社、月刊『ヤングキングアワーズ』連載） / 山村洋貴"
野良神,ノラガミ,2014-01-05,https://bangumi.tv/subject/82572,//lain.bgm.tv/pic/cover/l/ee/de/82572_PNW44.jpg,2021-5-29,,,"","12话 /  2014年1月5日"
影宅,シャドーハウス,2021-04-10,https://bangumi.tv/subject/316957,//lain.bgm.tv/pic/cover/l/01/42/316957_wNlQU.jpg,2021-5-29,,,"","13话 /  2021年4月10日 / 大橋一輝 / ソウマトウ（集英社『週刊ヤングジャンプ』連載） / 日下部智津子"
致不灭的你,不滅のあなたへ,2021-04-12,https://bangumi.tv/subject/297954,//lain.bgm.tv/pic/cover/l/5c/9c/297954_NyA7J.jpg,2021-5-29,,,"","20话 /  2021年4月12日 / むらた雅彦 / 大今良時 / 藪野浩二"
辉夜大小姐想让我告白～天才们的恋爱头脑战～ 第三季,かぐや様は告らせたい～天才たちの恋愛頭脳戦～ 第3期,,https://bangumi.tv/subject/317613,//lain.bgm.tv/pic/cover/l/cf/9c/317613_6b62n.jpg,2021-5-14,,,"","赤坂アカ（集英社「週刊ヤングジャンプ」連載）"
萤火之森,蛍火の杜へ,2011-09-17,https://bangumi.tv/subject/12544,//lain.bgm.tv/pic/cover/l/f4/98/12544_z9MP1.jpg,2021-4-27,,,"","1话 /  2011年9月17日 / 緑川ゆき"
银魂',銀魂',2011-04-04,https://bangumi.tv/subject/11834,//lain.bgm.tv/pic/cover/l/e1/36/11834_F225g.jpg,2021-4-27,,,"","51话 /  2011年4月4日"
水星领航员,ARIA The ANIMATION,2005-10-05,https://bangumi.tv/subject/531,//lain.bgm.tv/pic/cover/l/0f/cb/531_lhSVh.jpg,2021-4-27,,,"","13话 /  2005年10月5日 / 佐藤順一 / 天野こずえ / 古賀誠"
寒蝉鸣泣之时,ひぐらしのなく頃に,2006-04-04,https://bangumi.tv/subject/289,//lain.bgm.tv/pic/cover/l/83/9a/289_h0nz0.jpg,2021-4-27,,,"","26话 /  2006年4月4日 / 今千秋 / 竜騎士07/07th Expansion / 坂井久太"
Code Geass 反叛的鲁路修,コードギアス 反逆のルルーシュ,2006-10-05,https://bangumi.tv/subject/793,//lain.bgm.tv/pic/cover/l/da/8c/793_lSWLw.jpg,2021-4-27,,,"","25话 /  2006年10月5日 / 谷口悟朗 / 木村貴宏"
剧场版 魔法少女小圆 〈瓦尔普吉斯的回天〉,劇場版 魔法少女まどか☆マギカ 〈ワルプルギスの廻天〉,,https://bangumi.tv/subject/334105,//lain.bgm.tv/pic/cover/l/df/56/334105_d49u4.jpg,2021-4-26,,,"","Magica Quartet / 谷口淳一郎"
奇巧计程车,オッドタクシー,2021-04-05,https://bangumi.tv/subject/325285,//lain.bgm.tv/pic/cover/l/65/90/325285_4688X.jpg,2021-4-15,,,"","13话 /  2021年4月5日 / 木下麦（P.I.C.S.） / P.I.C.S. / 木下麦・中山裕美"
佐贺偶像是传奇,ゾンビランドサガ,2018-10-04,https://bangumi.tv/subject/252655,//lain.bgm.tv/pic/cover/l/a4/ef/252655_8X396.jpg,2021-4-8,,,"","12话 /  2018年10月4日 / 広報広聴課ゾンビ係"
白箱,SHIROBAKO,2014-10-09,https://bangumi.tv/subject/110467,//lain.bgm.tv/pic/cover/l/73/26/110467_Fx9tT.jpg,2021-4-4,,,"","24话 /  2014年10月9日 / 水島努 / 武蔵野アニメーション / 関口可奈味"
