名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
异世界四重奏,異世界かるてっと,2019-04-09,https://bgm.tv/subject/262865,//lain.bgm.tv/pic/cover/l/c0/e9/262865_HzIiM.jpg,2021-6-11,6,,"","12话 / 2019年4月9日 / 芦名みのる / 丸山くがね『オーバーロード』・暁なつめ『この素晴らしい世界に祝福を！』・長月達平『Re:ゼロから始める異世界生活』・カルロ・ゼン『幼女戦記』 / たけはらみのる"
剧场版 为美好的世界献上祝福！红传说,映画 この素晴らしい世界に祝福を！紅伝説,2019-08-30,https://bgm.tv/subject/220631,//lain.bgm.tv/pic/cover/l/d0/61/220631_2nNMt.jpg,2021-6-10,8,,"","1话 / 2019年8月30日 / 金﨑貴臣 / 暁なつめ / 菊田幸一"
为美好的世界献上祝福！ 第二季,この素晴らしい世界に祝福を！2,2017-01-11,https://bgm.tv/subject/174043,//lain.bgm.tv/pic/cover/l/53/e6/174043_Mt8Xb.jpg,2021-6-10,8,,"","10话 / 2017年1月11日 / 金﨑貴臣 / 暁なつめ / 菊田幸一"
为美好的世界献上祝福！ OAD,この素晴らしい世界に祝福を！ OAD,2016-06-24,https://bgm.tv/subject/162771,//lain.bgm.tv/pic/cover/l/93/62/162771_0AGFR.jpg,2021-6-8,8,,"","2话 / 2016年6月24日 / 金﨑貴臣 / 暁なつめ / 菊田幸一"
为美好的世界献上祝福！,この素晴らしい世界に祝福を！,2016-01-13,https://bgm.tv/subject/135275,//lain.bgm.tv/pic/cover/l/56/de/135275_G3liq.jpg,2021-6-7,8,,"","10话 / 2016年1月13日 / 金﨑貴臣 / 暁なつめ / 菊田幸一"
虫师 特别篇 铃之雫,蟲師 特別編「鈴の雫」,2015-05-16,https://bgm.tv/subject/120700,//lain.bgm.tv/pic/cover/l/3d/55/120700_ae3wr.jpg,2021-6-4,8,,"","1话 / 2015年5月16日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
虫师 续章 第2期,蟲師 続章 第2クール,2014-10-18,https://bgm.tv/subject/106207,//lain.bgm.tv/pic/cover/l/9c/c7/106207_z8288.jpg,2021-6-3,9,,"","10话 / 2014年10月18日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,2020-04-11,https://bgm.tv/subject/293049,//lain.bgm.tv/pic/cover/l/36/16/293049_0e0re.jpg,2021-6-3,7,,"","12话 / 2020年4月11日 / 畠山守（小俣真一） / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子"
黑社会的超能力女儿,ヒナまつり,2018-04-06,https://bgm.tv/subject/225631,//lain.bgm.tv/pic/cover/l/11/f9/225631_0p0sS.jpg,2021-6-1,8,,"","12话 / 2018年4月6日 / 及川啓 / 大武政夫「ヒナまつり」（ハルタ / KADOKAWA） / 神本兼利"
凉宫春日酱的忧郁,涼宮ハルヒちゃんの憂鬱,2009-02-14,https://bgm.tv/subject/1372,//lain.bgm.tv/pic/cover/l/f3/bd/1372_I3xm1.jpg,2021-5-28,8,,"","25话 / 2009年2月14日 / 武本康弘 / 谷川流・いとうのいぢ・ぷよ / 西屋太志"
虫师 续章,蟲師 続章,2014-04-04,https://bgm.tv/subject/92705,//lain.bgm.tv/pic/cover/l/a6/33/92705_P0yq4.jpg,2021-5-28,8,,"","11话 / 2014年4月4日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
青春笨蛋少年不做兔女郎学姐的梦,青春ブタ野郎はバニーガール先輩の夢を見ない,2018-10-03,https://bgm.tv/subject/240038,//lain.bgm.tv/pic/cover/l/b9/45/240038_b5j7g.jpg,2021-5-28,6,,"","13话 / 2018年10月3日 / 鴨志田一 (電撃文庫刊「『青春ブタ野郎』シリーズ」)"
虫师,蟲師,2005-10-22,https://bgm.tv/subject/340,//lain.bgm.tv/pic/cover/l/40/00/340_J14Mj.jpg,2021-5-14,9,,"","26话 / 2005年10月22日 / 長濵博史 / 漆原友紀 / 馬越嘉彦"
